PAKET,STATÜ,HATA KODU,ZAMAN,BASINÇ,YÜK.1,YÜK.2,FARK,HIZ,SICAKLIK,PİL,LAT,LON,GPS ALT,PITCH,ROLL,YAW
1,YÜKSELME,0110,14:50:29,995.19,397.44,396.87,0.58,9.89,23.1,8.12,0.0,0.0,1477.4,173,256,323
2,YÜKSELME,0010,14:50:30,994.02,308.27,310.03,1.76,8.01,27.9,8.37,39.92,32.85,1388.3,87,28,217
3,YÜKSELME,0010,14:50:31,1016.64,291.17,289.79,1.38,9.70,23.0,8.14,39.92,32.85,1371.2,280,37,345
4,YÜKSELME,0010,14:50:32,988.71,112.78,114.70,1.92,9.05,22.7,7.90,39.92,32.85,1192.8,257,91,20
5,YÜKSELME,1010,14:50:33,1016.26,138.15,139.70,1.55,11.44,25.4,7.46,39.92,32.85,1218.1,347,344,228
6,YÜKSELME,0010,14:50:34,995.53,95.10,95.86,0.76,9.62,26.9,8.11,39.92,32.85,1175.1,254,359,292
7,YÜKSELME,0110,14:50:35,994.84,315.29,315.12,0.17,9.44,24.8,7.99,0.0,0.0,1395.3,78,328,49
8,YÜKSELME,0010,14:50:36,1000.51,255.15,254.31,0.83,8.76,27.9,8.15,39.92,32.85,1335.1,130,27,168
9,KURTARMA,1111,14:50:37,1017.22,7.85,6.44,1.41,13.12,25.4,7.81,0.0,0.0,1087.8,225,124,120
10,YÜKSELME,0010,14:50:38,998.61,59.74,59.08,0.67,8.52,27.9,7.46,39.92,32.85,1139.7,105,128,330
11,YÜKSELME,0010,14:50:39,982.76,119.22,118.37,0.85,8.08,24.6,7.56,39.92,32.85,1199.2,313,318,285
12,YÜKSELME,0010,14:50:40,1006.57,370.77,369.99,0.78,9.49,26.8,7.81,39.92,32.85,1450.8,293,47,264
13,YÜKSELME,1010,14:50:41,993.76,158.70,158.19,0.52,11.27,26.9,7.96,39.92,32.85,1238.7,198,46,325
14,YÜKSELME,0010,14:50:42,1015.29,25.89,26.74,0.85,8.47,27.0,8.29,39.92,32.85,1105.9,130,304,221
15,YÜKSELME,0010,14:50:43,1016.22,93.70,94.69,0.99,9.38,25.4,7.72,39.92,32.85,1173.7,212,239,321
16,KURTARMA,1001,14:50:44,1018.81,104.84,103.15,1.69,12.58,22.7,7.77,39.92,32.85,1184.8,125,280,141
17,İNİŞ,1100,14:50:45,993.95,158.96,159.93,0.98,12.06,25.0,7.84,0.0,0.0,1239.0,74,343,146
18,İNİŞ,0000,14:50:46,1008.46,483.59,483.64,0.05,8.79,25.6,8.07,39.92,32.85,1563.6,322,262,65
19,İNİŞ,0000,14:50:47,980.74,60.62,61.10,0.48,8.06,25.3,8.36,39.92,32.85,1140.6,207,278,78
20,İNİŞ,0000,14:50:48,1003.61,304.06,303.16,0.91,8.26,22.1,7.48,39.92,32.85,1384.1,82,141,340
21,İNİŞ,1000,14:50:49,1007.73,290.45,290.39,0.06,11.56,26.6,8.25,39.92,32.85,1370.5,96,276,223
22,İNİŞ,0000,14:50:50,997.37,61.36,61.22,0.14,8.03,26.2,8.07,39.92,32.85,1141.4,311,324,39
23,İNİŞ,0000,14:50:51,1004.86,292.20,293.67,1.48,9.06,23.8,8.05,39.92,32.85,1372.2,342,143,259
24,KURTARMA,0101,14:50:52,1012.67,493.87,494.36,0.49,8.13,24.8,8.40,0.0,0.0,1573.9,120,352,15
25,İNİŞ,1000,14:50:53,1013.15,230.29,230.06,0.23,13.07,23.4,8.08,39.92,32.85,1310.3,62,43,329
26,İNİŞ,0000,14:50:54,1007.62,257.24,258.57,1.33,9.83,23.7,8.10,39.92,32.85,1337.2,348,98,12
27,İNİŞ,0000,14:50:55,997.07,89.10,87.56,1.54,9.74,24.9,8.13,39.92,32.85,1169.1,197,115,305
28,İNİŞ,0000,14:50:56,1002.69,70.96,70.55,0.41,9.96,22.6,7.78,39.92,32.85,1151.0,129,56,204
29,İNİŞ,0100,14:50:57,980.51,148.99,150.69,1.70,8.43,25.3,8.13,0.0,0.0,1229.0,250,80,40
30,İNİŞ,1000,14:50:58,1010.58,241.75,240.62,1.13,13.36,23.2,7.84,39.92,32.85,1321.8,177,317,50
31,İNİŞ,0000,14:50:59,998.86,345.80,344.01,1.78,9.78,27.5,7.80,39.92,32.85,1425.8,246,329,334
32,İNİŞ,0100,14:51:00,991.89,328.24,330.09,1.85,8.92,25.1,8.20,0.0,0.0,1408.2,171,140,82
33,İNİŞ,0100,14:51:01,1007.87,423.72,423.80,0.08,9.11,27.1,7.86,0.0,0.0,1503.7,70,201,109
34,İNİŞ,0000,14:51:02,986.16,101.12,100.82,0.31,8.21,22.2,7.68,39.92,32.85,1181.1,113,142,200
35,İNİŞ,0000,14:51:03,1004.04,266.91,266.79,0.12,9.31,27.3,8.22,39.92,32.85,1346.9,139,36,109
36,İNİŞ,0000,14:51:04,1013.81,1.95,2.23,0.28,9.88,26.5,8.26,39.92,32.85,1082.0,169,297,94
37,İNİŞ,0000,14:51:05,1009.30,404.03,403.26,0.76,8.35,26.2,7.78,39.92,32.85,1484.0,152,187,51
38,İNİŞ,0100,14:51:06,1002.56,134.57,135.38,0.81,9.68,23.8,7.79,0.0,0.0,1214.6,170,93,58
39,İNİŞ,1000,14:51:07,1011.38,213.74,214.19,0.45,12.42,24.1,7.65,39.92,32.85,1293.7,328,207,295
40,İNİŞ,0000,14:51:08,985.53,495.62,496.30,0.68,9.15,22.8,7.75,39.92,32.85,1575.6,186,233,2
41,İNİŞ,0000,14:51:09,1002.01,255.55,256.94,1.39,8.87,26.7,7.68,39.92,32.85,1335.5,140,96,1
