TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,15:28:48,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,2,15:28:50,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,3,15:28:51,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,4,15:28:51,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,5,15:28:51,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,6,15:28:51,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,7,15:28:52,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,8,15:28:52,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,9,15:28:52,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,10,15:28:52,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,11,15:28:52,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,12,15:28:52,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,13,15:28:53,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,14,15:28:53,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,15,15:28:53,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,16,15:28:53,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,17,15:28:53,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,18,15:28:53,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,19,15:28:54,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,20,15:28:54,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,21,15:28:54,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,22,15:28:54,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,23,15:28:54,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,24,15:28:54,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,25,15:28:55,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,26,15:28:55,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,27,15:28:55,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,28,15:28:55,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
71523,29,15:28:55,1012.50,250.30,251.10,0.80,9.50,24.2,8.10,39.92,32.85,1330.3,İNİŞ,15,-5,200,3,HAYIR
