TAKIM NO,PAKET NO,GÖNDERME ZAMANI,BASINÇ,YÜKSEKLİK 1,YÜKSEKLİK 2,İRTİFA FARKI,HIZ,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,UYDU STATÜSÜ,HATA KODU,PITCH,ROLL,YAW,DÖNÜŞ SAYISI,VİDEO AKTARIM
71523,1,10:47:52,1012.54,248.99,249.64,0.65,8.93,24.1,8.09,39.91991,32.85004,1330.1,İNİŞ,0000,17,-7,198,3,HAYIR
71523,2,10:47:53,1014.47,254.41,254.61,0.20,9.64,24.1,8.09,39.92,32.84999,1328.8,İNİŞ,0000,17,-6,204,3,HAYIR
71523,3,10:47:53,1012.44,250.95,250.44,0.51,9.99,24.1,8.08,39.91992,32.84994,1331.4,İNİŞ,0000,15,-3,204,3,HAYIR
71523,4,10:47:54,1012.75,249.68,249.87,0.19,9.45,23.7,8.08,39.91996,32.84997,1331.3,İNİŞ,0000,14,-4,203,3,HAYIR
71523,5,10:47:54,1013.53,247.74,248.72,0.99,8.81,24.4,8.07,39.91992,32.85007,1331.2,İNİŞ,0000,15,-3,197,3,HAYIR
71523,6,10:47:55,1013.02,253.04,253.61,0.56,9.89,24.6,8.07,39.92002,32.84992,1328.6,İNİŞ,0000,14,-4,199,3,HAYIR
71523,7,10:47:55,1013.83,253.64,254.00,0.36,9.37,24.0,8.06,39.91998,32.85,1331.6,İNİŞ,0000,14,-4,203,3,HAYIR
71523,8,10:47:56,1012.17,254.51,254.92,0.42,8.89,24.1,8.06,39.92003,32.84991,1332.0,İNİŞ,0000,14,-6,200,3,HAYIR
71523,9,10:47:56,1013.50,246.99,246.61,0.38,9.42,24.2,8.05,39.92001,32.84991,1328.6,İNİŞ,0000,16,-6,204,3,HAYIR
71523,10,10:47:56,1010.65,251.56,250.84,0.72,9.30,23.8,8.05,39.92006,32.85004,1329.5,İNİŞ,0000,16,-6,197,3,HAYIR
71523,11,10:47:56,1013.46,248.50,248.37,0.13,10.44,24.1,8.04,39.9199,32.85,1331.7,İNİŞ,1000,17,-5,198,3,HAYIR
71523,12,10:47:57,1012.85,252.14,252.38,0.23,10.43,23.9,8.04,39.92001,32.85007,1332.2,İNİŞ,1000,14,-6,200,3,HAYIR
71523,13,10:47:57,1014.23,249.20,250.10,0.89,9.11,24.1,8.04,39.9199,32.84996,1330.6,İNİŞ,0000,15,-7,198,3,HAYIR
71523,14,10:47:57,1011.99,249.54,249.69,0.15,10.14,24.6,8.03,39.91993,32.84991,1330.3,İNİŞ,1000,15,-5,204,3,HAYIR
71523,15,10:47:57,1012.10,251.61,252.07,0.46,9.79,24.3,8.03,39.92006,32.8501,1329.5,İNİŞ,0000,15,-7,197,3,HAYIR
