PAKET NO,UYDU STATÜSÜ,HATA KODU,GÖNDERME SAATİ,BASINÇ,YÜKSEKLİK,İNİŞ HIZI,SICAKLIK,PİL GERİLİMİ,GPS LAT,GPS LON,GPS ALT,PITCH,ROLL,YAW,RHRHRH,TAKIM NO
1,4,0000,22/02/2026 11:10:06,1012.19,249.53,10.29,24.7,8.09,39.91994,32.84993,1330.9,16,-7,196,1A2B3C,71523
2,4,0000,22/02/2026 11:10:06,1012.74,250.98,8.64,24.3,8.09,39.92008,32.85003,1332.1,14,-6,198,1A2B3C,71523
3,4,0000,22/02/2026 11:10:07,1011.77,246.97,9.25,23.8,8.08,39.91999,32.84999,1331.4,15,-5,203,1A2B3C,71523
4,4,0000,22/02/2026 11:10:07,1013.72,248.13,8.74,24.3,8.08,39.92,32.84991,1330.4,17,-5,200,1A2B3C,71523
5,4,0000,22/02/2026 11:10:07,1013.71,251.34,10.12,24.6,8.07,39.92006,32.84998,1331.5,15,-6,196,1A2B3C,71523
6,4,0000,22/02/2026 11:10:07,1014.50,248.49,10.26,24.3,8.07,39.92009,32.85003,1329.1,13,-4,201,1A2B3C,71523
7,4,0000,22/02/2026 11:10:07,1012.83,246.22,8.50,23.9,8.06,39.92007,32.84999,1331.6,15,-5,199,1A2B3C,71523
8,4,0000,22/02/2026 11:10:08,1012.63,248.66,10.16,24.1,8.06,39.92009,32.84998,1329.0,14,-4,197,1A2B3C,71523
9,4,0000,22/02/2026 11:10:08,1012.89,252.07,8.70,24.3,8.05,39.91998,32.85,1330.4,13,-4,201,1A2B3C,71523
10,4,0000,22/02/2026 11:10:08,1013.33,253.17,10.19,24.3,8.05,39.92001,32.84993,1330.5,15,-4,200,1A2B3C,71523
11,4,0000,22/02/2026 11:10:08,1012.64,254.53,8.54,23.9,8.04,39.92007,32.84999,1332.0,14,-6,198,1A2B3C,71523
12,4,0000,22/02/2026 11:10:08,1014.15,250.88,9.96,24.2,8.04,39.92006,32.84999,1331.5,15,-6,205,1A2B3C,71523
13,4,0000,22/02/2026 11:10:08,1011.81,248.25,9.64,24.5,8.04,39.92001,32.85007,1330.2,16,-6,195,1A2B3C,71523
14,4,0000,22/02/2026 11:10:08,1013.71,246.57,9.39,24.3,8.03,39.91993,32.84999,1328.9,14,-6,200,1A2B3C,71523
15,4,0000,22/02/2026 11:10:09,1014.27,248.87,9.49,24.5,8.03,39.92,32.84991,1330.7,15,-5,203,1A2B3C,71523
16,4,0000,22/02/2026 11:10:09,1012.37,250.01,8.89,24.7,8.02,39.91994,32.84996,1332.2,16,-6,203,1A2B3C,71523
17,4,0000,22/02/2026 11:10:09,1012.48,245.74,10.33,24.5,8.01,39.91996,32.85003,1331.0,17,-5,203,1A2B3C,71523
